epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
255,0.851124,0.12208413,0.20261784,0.12641938,2560.0,-1.7646234,0.9,5120.0,0.6
256,0.85110027,0.121946275,0.20261881,0.12635447,2570.0,-2.5276942,1.0,5140.0,0.7
257,0.8511243,0.121928245,0.20260525,0.12626976,2580.0,-1.6532958,0.9,5160.0,0.6
258,0.8511419,0.12187173,0.20263602,0.12620501,2590.0,-1.6632534,1.0,5180.0,0.65
259,0.85122234,0.12182381,0.20264505,0.12616466,2600.0,-1.1633282,1.0,5200.0,0.45
260,0.8512318,0.12174048,0.20269293,0.12614729,2610.0,-1.8547865,0.9,5220.0,0.6
261,0.8513119,0.121718764,0.20267276,0.12609455,2620.0,-1.3763076,1.0,5240.0,0.3
262,0.8513014,0.12176541,0.20269376,0.1260656,2630.0,-1.3806427,1.0,5260.0,0.7
263,0.8512919,0.12176297,0.20270611,0.1260538,2640.0,-1.6913971,1.0,5280.0,0.55
264,0.85129523,0.12175294,0.20270012,0.1259828,2650.0,-2.5847363,0.9,5300.0,0.6
265,0.8512924,0.12173432,0.20267868,0.1259794,2660.0,-1.2849754,1.0,5320.0,0.5
266,0.8512884,0.12176398,0.20268458,0.1259666,2670.0,-1.3258847,1.0,5340.0,0.5
267,0.8513667,0.1216774,0.20269026,0.12594774,2680.0,-1.6328074,0.9,5360.0,0.6
268,0.8513854,0.12172023,0.2027096,0.12590794,2690.0,-1.8193582,0.9,5380.0,0.5
269,0.8514795,0.12169886,0.20271179,0.12583846,2700.0,-1.0730468,1.0,5400.0,0.55
270,0.8515208,0.12162286,0.2027258,0.12574452,2710.0,-1.4554652,1.0,5420.0,0.6
271,0.8515451,0.121713184,0.20274754,0.1257403,2720.0,-2.2185862,1.0,5440.0,0.6
272,0.8515968,0.121689655,0.20272951,0.12564585,2730.0,-2.496154,1.0,5460.0,0.55
